filename,textdate_from,textdate_to,author,recipient,large_region,year,letter_type,script_type,letter_type2,script_type2,id,bi,ms,fn,wgr,agr,lcinf,class,lclet,wc,st,date,X
1481_115_m1700,17160101,17161231,"AlexanderRoss,Solicitor","WilliamGordon(Sutherland),17thEarlofSutherland,LordStrathnaver",Unspecified,1716,autograph,non-secretary,informationunavailable,informationunavailable,1830,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,213",NLSDep313529,RossAlexander7160000,male,male,Unspecified,Professional,unspecified,2088,acopyintheCSCarchive,1716,NA
747_111_m1600,16450826,16450826,"HughCampbell,1stEarlofLoudoun","AlexanderMontgomery(Seton),6thEarlofEglinton",South-West,1645,autograph,signature,non-autograph,non-secretary,1356,"previouslyeditedbySirWilliamFraserinthetheMemorialsoftheMontgomeries,vol.1,155",NRSGD35359,1Loudoun6450826,male,male,Ayrshire,unspecified,Berwick,1730,acopyintheCSCarchive,1645August26,NA
653_17_m1600,16150522,16150522,"JohnGordon,12thEarlofSutherland","RobertGordonofGordonstoun,hisbrother",North,1615,autograph,initialandfinalformulaeandsignature,non-autograph,secretary,300,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,131",NLSDep313,12Sutherland6150522,male,male,Sutherland,unspecified,Dunrobin,1660,acopyintheCSCarchive,1615May22,NA
691_55_m1600,16030530,16030530,"AlexanderSeton,1stEarlofDunfermline",KingJamesVI,South-East,1603,autograph,non-secretary,informationunavailable,informationunavailable,1421,informationunavailable,"NLSAdvMS33.1.1,vol.1",1Dunfermline6030530,male,royal,Fife,unspecified,Edinburgh,1596,acopyintheCSCarchive,1603May30,NA
1477_111_m1700,17121023,17121023,"AlexanderRoss,Solicitor",unspecified,Unspecified,1712,autograph,non-secretary,informationunavailable,informationunavailable,1845,informationunavailable,NLSDep313572,RossAlexander7121023,male,unspecified,Unspecified,Professional,Edinburgh,1553,acopyintheCSCarchive,1712October23,NA
1464_98_m1700,17330718,17330718,JamesMaule,"WilliamMaule,1stEarlPanmure",North-East,1733,autograph,non-secretary,informationunavailable,informationunavailable,1821,informationunavailable,NRSGD4514427,MauleJames7330718,male,male,Angus,unspecified,Angers,1525,acopyintheCSCarchive,1733July18,NA
1118_13_m1650,16600921,16600921,"JohnGordon,14thEarlofSutherland","GeorgeGordon,15thEarlofSutherland,hisson",North,1660,autograph,non-secretary,informationunavailable,informationunavailable,381,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,175",NLSDep313488,14Sutherland6600921,male,male,Sutherland,unspecified,Dunrobin,1211,acopyintheCSCarchive,1660September21,NA
1110_5_m1650,16500101,16501231,"JohnGordon,14thEarlofSutherland","GeorgeGordon,later15thEarlofSutherland,hisson",North,1650,autograph,non-secretary,informationunavailable,informationunavailable,376,informationunavailable,NLSDep313488,14Sutherland6500000,male,male,Sutherland,unspecified,unspecified,1150,acopyintheCSCarchive,1650,NA
1482_116_m1700,17160416,17160416,"AlexanderRoss,Solicitor",unspecified,Unspecified,1716,autograph,non-secretary,informationunavailable,informationunavailable,1831,informationunavailable,NLSDep313529,RossAlexander7160416,male,unspecified,Unspecified,Professional,Edinburgh,1133,acopyintheCSCarchive,1716April16,NA
287_148_f1650,16600302,16600302,"JeanWemyss,CountessofSutherland","GeorgeGordon,15thEarlofSutherland",North,1660,autograph,non-secretary,informationunavailable,informationunavailable,527,informationunavailable,NLSMSDep313488,WemyssSJean6600302,female,male,Sutherland,unspecified,Cannongate,1130,acopyintheCSCarchive,1660March2,NA
425_81_m1540,15480220,15490220,"AlexanderGordon,postulateofCaithness","MaryofLorraine,QueenDowager",North-East,1548,autograph,secretary,informationunavailable,informationunavailable,10,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,199",NRSSP23,GordonCAlexander5480220I,male,royal,Aberdeenshire,unspecified,Jedburgh,1123,transcribedinsitu,15489February20,NA
1139_34_m1650,16980420,16980420,"JohnCampbellofGlenorchy,1stEarlofBreadalbane","AlexanderCampbellofBarcaldine,Lieutenant,hischamberlain",South-West,1698,autograph,non-secretary,informationunavailable,informationunavailable,1615,informationunavailable,NRSGD17062990,1Breadalbane6980420,male,male,Argyllshire,unspecified,Taymouth,1074,acopyintheCSCarchive,1698April20,NA
1465_99_m1700,17460916,17460916,JamesMaule,"WilliamMaule,1stEarlPanmure",North-East,1746,autograph,non-secretary,informationunavailable,informationunavailable,1822,informationunavailable,NRSGD4514447,MauleJames7460916,male,male,Angus,unspecified,Stockholm,1060,acopyintheCSCarchive,1746September16,NA
1423_57_m1700,17191107,17191107,"JohnErskine,23rd6thEarlofMar","AlexanderRobertson,17thofStrowan,Brigadier",South-East,1719,autograph,non-secretary,informationunavailable,informationunavailable,1788,informationunavailable,NLSADVMS13.1.8,23Mar7191107,male,male,Stirlingshire,unspecified,unspecified,1038,acopyintheCSCarchive,1719November7,NA
328_37_f1700,17010505,17010505,"IsabelMackenzie,CountessofSeaforth",unspecified,North,1701,autograph,non-secretary,informationunavailable,informationunavailable,1251,informationunavailable,informationunavailable,MackenzieSIsabel7010505,female,unspecified,Ross,unspecified,unspecified,1006,acopyintheCSCarchive,1701May5,NA
49_31_f1600,16360117,16360117,"MargaretFielding,MarchionessofHamilton","MarieStewart,CountessofMar",Central,1636,autograph,italic,informationunavailable,informationunavailable,732,informationunavailable,NLSMS507030-31,FieldingHMargaret6360117,female,female,Lanarkshire,unspecified,Strand,994,acopyintheCSCarchive,1636January17,NA
730_94_m1600,16070121,16070121,"JamesElphinstone,1stLordBalmerino",KingJamesVI,South-East,1607,autograph,non-secretary,informationunavailable,informationunavailable,1424,informationunavailable,"NLSAdvMS33.1.1,vol.2",1LBalmerino6070121,male,royal,Fife,unspecified,unspecified,977,acopyintheCSCarchive,1607January21,NA
1112_7_m1650,16551029,16551029,"JohnGordon,14thEarlofSutherland",RobertGordonofGordonstoun,North,1655,autograph,non-secretary,informationunavailable,informationunavailable,1536,"previouslyeditedbySirWilliamFraserintheSutherlandBook,vol.2,171",NLSDep313,14Sutherland6551029,male,male,Sutherland,unspecified,Dunrobin,966,acopyintheCSCarchive,1655October29,NA
354_10_m1540,15480603,15480603,"HenryStewart,1stLordMethven","MaryofLorraine,QueenDowager",Central,1548,autograph,secretary,informationunavailable,informationunavailable,102,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,172",NRSSP23,1LMethven5480603,male,royal,Perthshire,unspecified,Methven,952,acopyintheCSCarchive,1548June3,NA
83_65_f1600,16411126,16411126,"ElizabethKerofCessford,LadyBellenden","MargaretScott,CountessofEglinton",South-East,1641,autograph,italic,informationunavailable,informationunavailable,593,"previouslyeditedbySirWilliamFraserintheMemorialsoftheMontgomeries,vol.1,120",NRSGD35272,KerCElizabeth6411126,female,female,Borders,unspecified,unspecified,938,transcribedinsitu,1641November26,NA
93_75_f1600,16160101,16161231,"AnnaLivingston,CountessofEglinton",JohnMurrayofLochmaben,South-East,1616,autograph,italic,informationunavailable,informationunavailable,173,informationunavailable,"NLSAdvMS33.1.1,vol.10",LivingstonEAnna6160000,female,male,Lothian,unspecified,unspecified,915,transcribedinsitu,1616,NA
406_62_m1540,15430315,15440315,JohnCampbell,"MatthewStewart,4thEarlofLennox",Unlocalised,1543,autograph,secretary,informationunavailable,informationunavailable,55,"previouslyeditedbyAnnieI.CameronintheCorrespondenceofMaryofLorraine,52",NRSSP21,CampbellJohn5430315,male,male,unlocalised,unspecified,Dieppe,912,transcribedinsitu,15434March15,NA
248_109_f1650,16880628,16880628,"MargaretMackenzie(Sutherland),LadyDuffus","JamesSutherland,LordDuffus,herhusband",North,1688,autograph,non-secretary,informationunavailable,informationunavailable,1158,informationunavailable,"NLSDep17570,Bundle3",MackenzieSMargaret6880628,female,male,Sutherland,unspecified,Elgin,909,acopyintheCSCarchive,1688June28,NA
